PotID,Pot.ID.QR.Code,stripNo,BinNo,plotType,divLevel,trt,lines1,lines2,lines3,lines4,lines5,lines6,lines7,lines8,lines9,lines10,lines11,lines12,lines13,lines14,lines15,lines16,lines17,lines18,lines19,lines20,PlantNum_Initial,CanopyArea,SLA_Area,SLA_Wt,SLA,FH_Wt,FT.5.29.30.18,FT.6.4.18,FT.6.8.18,FT.6.12.18,FT.6.15.18,FT.6.19.18,FT.6.21.18,FT.6.26.18,FT.6.29.18,FT.7.6.18,FT.7.10.18,Damaged_pot,FT1001_mean,FT1001_q90,FT1001_q10,PC5dist_mean,Ngenotypes,meanKin,meanGenD,treeDiv,ecotypeid,potF2,MaxPlantNum,typePlot
362,362-D-div-20-S,D,1,div,20,S,CS76790,CS76689,CS76409,CS77028,CS76721,CS76786,CS76979,CS77126,CS76836,CS76513,CS78778,CS78848,CS77006,CS76473,CS76692,CS76854,CS77287,CS76441,CS76953,CS77196,16,2.26,NA,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,0,damaged,72.06041667,91.68333333,51.5125,7.599633853,20,6.270309217,1.049818776,36.07093414,NA,NA,16,NA
363,363-D-mono-1-C,D,1,mono,1,C,CS76978,,,,,,,,,,,,,,,,,,,,18,12.13,NA,NA,NA,NA,0,0,0,0,0,,0,0,1,1,1,damaged,73.79166667,73.79166667,73.79166667,3.964834343,1,7.322603124,0,0,9626,NA,18,NA
364,364-D-div-10-C,D,1,div,10,C,CS77000,CS77033,CS77028,CS76790,CS76836,CS76649,CS78778,CS77197,CS76721,CS76642,,,,,,,,,,,19,19.68,NA,NA,NA,0.368,0,0,1,25,25,25,25,25,25,25,25,,74.67083333,93.2125,55.4875,6.868159039,10,6.35735624,0.942819356,19.17914155,NA,58.78133333,20,NA
365,365-D-mono-1-S,D,1,mono,1,S,CS77057,,,,,,,,,,,,,,,,,,,,18,NA,0.13,0.364,0.357,0.1213,0,50,75,75,75,75,75,75,100,100,100,damaged,53.875,53.875,53.875,5.319225288,1,7.322603124,0,0,9782,46.85352941,18,NA
366,366-D-mono-1-S,D,1,mono,1,S,CS76473,,,,,,,,,,,,,,,,,,,,18,3.56,NA,NA,NA,0.1053,0,1,25,50,75,75,75,100,100,100,100,,52.625,52.625,52.625,16.17027133,1,7.322603124,0,0,766,63.385625,18,NA
367,367-D-mono-1-C,D,1,mono,1,C,CS77107,,,,,,,,,,,,,,,,,,,,20,7,0.11,0.445,0.247,NA,0,0,0,0,0,,0,0,0,0,0,damaged,61.625,61.625,61.625,7.533433731,1,7.322603124,0,0,9559,NA,20,NA
368,368-D-mono-1-S,D,1,mono,1,S,CS76769,,,,,,,,,,,,,,,,,,,,16,7.64,0.15,0.592,0.253,NA,0,0,0,0,0,,0,0,0,0,0,damaged,69.16666667,69.16666667,69.16666667,4.109676849,1,7.322603124,0,0,9705,NA,16,NA
369,369-D-mono-1-S,D,1,mono,1,S,CS76999,,,,,,,,,,,,,,,,,,,,19,3.05,0.15,0.664,0.226,0.2796,0,0,0,0,0,,0,0,0,0,0,,82.25,82.25,82.25,6.971810948,1,7.322603124,0,0,9102,NA,19,NA
370,370-D-div-2-C,D,1,div,2,C,CS77126,CS76632,,,,,,,,,,,,,,,,,,,20,12,NA,NA,NA,0.1052,0,75,75,50,75,75,75,75,100,100,100,,56.4375,60.2875,52.5875,4.984556653,2,6.822559575,0.48039155,2.886622477,NA,95.021,20,NA
371,371-D-mono-1-S,D,1,mono,1,S,CS77000,,,,,,,,,,,,,,,,,,,,19,NA,0.04,0.134,0.299,0.0672,0,0,0,0,0,,0,0,0,0,0,damaged,83,83,83,6.971810948,1,7.322603124,0,0,9103,NA,19,NA
